,ID,P90
277,15583,23.8
278,15584,35.0
279,72152,26.0
280,72003,27.4
281,2064,36.0
282,2001,34.3
283,74002,19.240000000000055
284,29002,38.130000000000045
285,35265,36.0
286,9841,16.45999999999999
287,17099,23.4
288,63149,23.6
289,15594,27.279999999999994
290,9001,25.4
291,56068,22.55
292,57007,24.4
293,57048,22.4
294,57034,23.6
295,57106,22.540000000000056
296,56002,21.6
297,56069,21.170000000000027
298,56037,22.6
299,56238,23.55999999999999
300,29083,50.0
301,36100,35.0
302,18001,12.0
303,45028,27.4
304,8299,16.2
305,36005,37.080000000000005
306,30074,46.0
307,91117,15.2
308,10505,15.0
309,96050,18.0
310,22039,14.0
311,65000,24.0
312,11029,13.6
313,47002,17.8
314,9501,13.0
315,97045,75.34000000000006
316,23701,18.0
317,7119,25.24000000000001
318,66000,30.0
319,54043,29.0
320,54046,26.31999999999998
321,54053,27.85999999999999
322,54051,30.0
323,54041,27.9
324,54055,29.75
325,54045,26.2
326,54002,30.0
327,54044,27.8
328,54047,27.879999999999995
329,35114,38.0
330,40326,34.8
331,36163,34.95000000000002
332,53020,28.08000000000002
333,53040,30.5
334,44127,29.58
335,23867,23.2
336,95049,13.080000000000018
337,23702,17.920000000000005
338,23803,25.4
339,24500,12.7
340,86147,16.0
341,9909,19.6
342,9776,18.4
343,23896,16.2
344,9901,16.0
345,31193,27.95999999999999
346,31161,34.4
347,31002,34.86000000000008
348,31217,36.0
349,86000,19.3
350,86267,17.2
351,40329,27.0
352,12003,18.5
353,55000,26.0
354,55121,23.4
355,55122,25.0
356,55105,23.6
357,55120,24.0
358,55001,27.9
359,15647,26.49
360,41170,25.620000000000005
361,21001,17.8
362,42059,32.3
363,41434,28.4
364,66176,32.0
365,66001,36.8
366,44002,29.2
367,41416,27.6
368,29001,44.55
369,14252,47.0
370,27000,54.1
371,5093,35.980000000000004
372,7021,19.0
373,15004,38.0
374,67036,32.8
375,35263,31.8
376,24501,13.0
377,9273,20.4
378,44173,30.7
379,14814,38.4
380,9854,17.0
381,66053,33.0
382,87113,15.2
383,66079,32.2
384,88002,18.8
385,26078,15.0
386,26053,15.2
387,35230,34.24000000000005
388,41029,32.57000000000003
389,81063,15.6
390,10671,14.0
391,81122,18.0
392,81000,18.290000000000056
393,92002,14.2
394,61003,33.5
395,61294,32.2
396,81127,15.2
397,41546,26.88000000000002
398,68002,-1.0
399,15005,36.379999999999995
400,85276,19.859999999999992
401,41379,28.760000000000037
402,44091,26.65
403,37096,42.34000000000001
404,10795,15.45999999999999
405,14143,48.0
406,81061,17.5
407,15527,22.95999999999999
408,33002,46.0
409,37001,33.84000000000005
410,31003,43.9
411,10001,14.320000000000027
412,10002,14.0
413,10507,15.7
414,35004,31.8
415,31004,82.0
416,31203,84.0
417,87002,14.680000000000017
418,87102,14.649999999999999
419,87169,17.2
420,87004,14.6
421,41002,28.0
422,58108,45.420000000000016
423,82094,21.1
424,10508,14.0
425,99025,17.6
426,67108,26.6
427,67068,30.2
428,9063,19.8
429,9037,18.8
430,61423,25.800000000000068
431,61264,25.0
432,61204,25.4
433,94002,14.7
434,72028,33.0
435,30090,39.040000000000056
436,84108,17.480000000000018
437,41327,26.2
438,84147,19.420000000000027
439,85279,17.3
440,84080,17.5
441,84100,19.2
442,39002,44.5
443,47004,21.069999999999993
444,44233,22.6
445,44206,25.4
446,10244,20.6
447,40300,38.2
448,21002,13.7
449,23128,13.4
450,21104,12.4
451,14700,48.0
452,83077,18.8
453,40213,36.3
454,40007,43.7
455,34000,40.870000000000026
456,97037,26.8
457,4003,28.0
458,11045,14.64000000000001
459,8022,15.0
460,13007,29.0
461,66002,32.0
462,41003,26.9
463,23787,18.4
464,9505,23.8
465,9669,22.9
466,10295,15.570000000000027
467,8001,16.940000000000055
468,8268,16.44000000000001
469,11017,13.170000000000027
470,11000,15.2
471,69118,24.8
472,87006,15.0
473,87005,13.2
474,41338,26.45
475,44003,29.789999999999985
476,89002,13.8
477,89001,14.2
478,89111,14.0
479,10704,13.79000000000001
480,74004,19.0
481,45009,22.480000000000018
482,87008,13.88000000000011
483,87003,13.7
484,8002,14.880000000000019
485,8003,14.7
486,58001,38.22000000000016
487,58198,37.0
488,8004,19.1
489,42091,31.04000000000001
490,41092,27.179999999999996
491,10509,16.0
492,41488,26.0
493,44228,49.20000000000002
494,8032,15.2
495,5040,41.200000000000045
496,89003,13.8
497,33003,38.1
498,35262,41.0
499,43001,29.0
500,85008,32.80000000000001
501,85007,22.0
502,49002,16.8
503,49048,16.5
504,18038,12.340000000000009
505,86002,17.5
506,27031,55.28000000000002
507,32001,46.18000000000011
508,4004,35.84
509,4005,30.7
510,14615,39.470000000000006
511,36129,44.5
512,14173,44.0
513,40827,31.0
514,39003,36.3
515,36084,39.0
516,39103,32.0
517,9782,14.75
518,12216,18.400000000000023
519,12285,29.380000000000024
520,58002,46.0
521,9506,14.7
522,48003,27.2
523,78003,13.470000000000027
524,12280,23.7
