,Unnamed: 0,ID,Location,Latitude,Longitude,Start_Month,Start_Year,End_Month,End_Year,Years,Percent,Code,State
10981,10981,17072,MOUNT SARAH (CAR 732 MILE),-26.93,135.3417,Jan,1947,Aug,1978,23.8,75,N,SA
10982,10982,4061,MOUNT SATIRIST,-21.1,117.9833,Dec,1912,Nov,1947,34.2,98,N,WA
10983,10983,26067,MOUNT SCHANK (JETHIA),-37.9594,140.7703,Apr,1969,Jun,2024,55.3,0,N,SA
10984,10984,80113,MOUNT SCOBIE,-36.35,144.9667,Apr,1889,Apr,1907,12.1,67,N,VIC
10985,10985,7162,MOUNT SEABROOK,-25.5986,117.7325,Apr,1926,Nov,2014,9.3,10,N,WA
10986,10986,93049,MOUNT SEYMOUR,-42.3696,147.4631,Nov,1989,Jun,2024,29.9,86,N,TAS
10987,10987,93012,MOUNT SEYMOUR (OVERTON),-42.4,147.4333,Aug,1905,Dec,1970,43.3,66,N,TAS
10988,10988,10764,MOUNT SHORT,-33.4667,119.95,Jul,1929,Dec,1940,11.5,0,N,WA
10989,10989,12059,MOUNT SIR SAMUEL,-27.6,120.55,Nov,1900,Sep,1952,51.9,0,N,WA
10990,10990,15661,MOUNT SKINNER,-22.2109,134.1182,Jan,1963,Jun,2024,61.2,99,N,NT
10991,10991,9260,MOUNT SOLUS,-32.4697,116.2143,Feb,2004,Jun,2024,20.4,0,N,WA
10992,10992,32092,MOUNT SPEC,-18.9333,146.1833,Sep,1933,Sep,1967,33.3,97,N,QLD
10993,10993,33125,MOUNT SPENCER 2,-21.4828,148.6606,Sep,1890,Mar,2006,78.3,68,N,QLD
10994,10994,83051,MOUNT ST BERNARD,-37.0,147.1,Jan,1885,Nov,1938,23.8,44,N,VIC
10995,10995,14972,MOUNT STOW,-13.8516,132.6505,Oct,2007,Jun,2024,16.3,97,N,NT
10996,10996,5034,MOUNT STUART,-22.4558,116.0508,Jun,1899,Jun,2024,99.3,79,N,WA
10997,10997,32195,MOUNT STUART (DEFENCE),-19.4082,146.762,Sep,2017,Jun,2024,6.8,0,Y,QLD
10998,10998,32065,MOUNT STUART CHANNEL,-19.35,146.7667,Aug,1963,Apr,1978,14.4,98,N,QLD
10999,10999,30036,MOUNT SURPRISE TOWNSHIP,-18.1472,144.3183,Jan,1873,Mar,2024,146.1,97,N,QLD
11000,11000,40384,MOUNT SYLVIA,-27.7219,152.2239,Jul,1953,Oct,2002,47.2,96,N,QLD
11001,11001,85288,MOUNT TAMBORITHA,-37.4667,146.6883,Jan,1989,Jun,2024,29.8,84,N,VIC
11002,11002,21035,MOUNT TEMPLETON (GLENALBYN),-34.0256,138.3168,Jul,1898,Oct,2015,113.1,96,N,SA
11003,11003,51032,MOUNT TENANDRA,-31.2,148.7,Jan,1886,Aug,1954,68.7,0,N,NSW
11004,11004,56021,MOUNT TOPPER STATE FOREST,-29.9167,151.2167,Jan,1929,Feb,1987,58.2,0,N,NSW
11005,11005,23778,MOUNT TORRENS,-34.8833,138.9667,Oct,1876,Dec,1938,62.3,0,N,SA
11006,11006,87049,MOUNT TOWRONG,-37.3833,144.6167,Jul,1930,Mar,1969,38.8,0,N,VIC
11007,11007,30102,MOUNT TURNER STATION,-18.1778,143.3622,Jan,1972,Mar,2024,51.8,99,N,QLD
