,extreme_dates,scale
0,1940-11-13,4.482244852750455
1,1940-12-04,4.48496237100955
2,1940-12-12,8.88826449396202
3,1940-12-20,4.326252818845609
4,1941-01-23,14.641844225892548
5,1941-01-24,403.6555640497018
6,1941-03-21,4.48026362235736
7,1942-01-31,4.2954986782011675
8,1942-02-08,8.89059150857162
9,1942-02-09,1090.8497621130828
10,1942-04-02,0.0
11,1942-10-10,4.384512752594263
12,1942-10-11,570.4768068392334
13,1942-12-26,8.894411863902038
14,1942-12-29,24.49653736977234
15,1942-12-30,493.85179430141534
16,1943-10-17,8.893228930837138
17,1943-10-22,4.3065240292676625
18,1943-10-24,10.261492690216109
19,1943-11-15,4.355286350653717
20,1943-12-13,8.883460009788637
21,1943-12-16,9.08685297913139
22,1943-12-28,4.419419139822216
23,1943-12-29,187.40815352502113
24,1944-01-01,4.387907242209482
25,1944-07-10,38.42045934823999
26,1944-09-16,4.555478794995185
27,1944-11-24,4.623168646724323
28,1944-12-01,93.2370468727897
29,1945-01-13,14.752536136413202
30,1945-02-19,9.080321867570515
31,1945-02-25,8.901444879222424
32,1945-06-10,9.82304760882573
33,1945-07-11,8.88873835375744
34,1945-10-15,4.29517430414413
35,1945-10-16,54.76403024991014
36,1945-11-19,121.83994488689859
37,1945-12-02,9.053959438593502
38,1946-01-22,142.10316730675603
39,1946-01-23,667.745889687022
40,1946-02-21,108.08683868885251
41,1946-03-24,11.652408372991646
42,1946-03-25,794.1785385776226
43,1946-09-18,8.88777975284626
44,1946-09-19,266.21019785196506
45,1946-12-12,4.336033809184891
46,1947-01-23,15.738826929507509
47,1947-02-12,662.6018078142765
48,1947-02-28,8.918223803012758
49,1947-03-30,9.55111281663515
50,1947-11-28,33.166278774273266
51,1947-12-20,32.645837986033
52,1948-04-30,259.41776832523317
53,1948-05-01,676.6100777344669
54,1948-06-13,4.397397286180714
55,1948-06-14,62.11015681176155
56,1948-11-28,0.0
57,1949-02-12,14.633131174609332
58,1949-03-02,536.7477420320876
59,1949-10-24,15.934601602497247
60,1949-12-16,8.884630460864093
61,1950-01-17,4.3363504255634275
62,1950-01-27,9.056980561686448
63,1950-02-10,32.47962971038785
64,1950-02-17,8.915382051225757
65,1950-02-27,382.51284256133533
66,1950-04-10,9.058386566996937
67,1950-06-22,16.412938925779706
68,1950-07-27,4.380862989283932
69,1950-10-03,10.697799502872664
70,1950-10-08,13.49701093162604
71,1950-11-16,10.434849021148366
72,1951-01-24,64.82671957215844
73,1951-01-25,708.8979636855532
74,1951-01-30,326.35900213259265
75,1951-03-18,56.65318386412706
76,1951-12-19,43.20267991441332
77,1952-02-23,4.323674824177233
78,1952-03-02,4.327813656885629
79,1952-04-28,14.811109927703043
80,1952-06-13,8.894519938881906
81,1952-10-26,8.890275799514448
82,1953-02-15,17.897283590764566
83,1953-02-16,1085.3305788022828
84,1953-03-22,4.342855574218993
85,1953-05-01,10.418171163157396
86,1953-08-28,4.308224688505077
87,1953-08-29,10.077166956137637
88,1954-01-01,4.287828320831905
89,1954-01-16,8.898471767582937
90,1954-02-01,14.64732501680482
91,1954-02-10,924.0510948284406
92,1954-02-11,771.3615668934241
93,1954-07-11,8.011075098505803
94,1954-07-12,919.1419733509673
95,1954-07-13,951.9535803582128
96,1954-08-11,4.363428918030724
97,1954-10-16,770.7523530258433
98,1954-11-19,8.051463913506833
99,1955-03-07,246.70404381470541
100,1955-03-27,331.13687173848984
101,1955-04-29,32.94256213765337
102,1955-05-25,12.988040270373608
103,1955-09-27,4.540993176921912
104,1955-10-26,13.567485451514143
105,1955-12-14,28.369362184200135
106,1956-01-21,1007.8131159570345
107,1956-02-05,13.469784778972473
108,1956-02-08,218.36291505092962
109,1956-02-10,206.94499094098055
110,1956-04-17,13.49140157669957
111,1956-04-24,4.325882015861799
112,1956-04-30,13.512145870394882
113,1956-05-01,1258.8103421861995
114,1956-06-23,35.32329822285883
115,1956-12-20,4.469046648120444
116,1956-12-21,258.0967356528167
117,1957-07-01,14.982776110041083
118,1957-12-16,37.11925769761795
119,1958-01-31,4.344326814202826
120,1958-02-20,36.662635488575425
121,1958-03-05,13.484894690066458
122,1958-03-12,4.263216358440744
123,1958-06-08,31.14602955108038
124,1958-06-09,539.716899250411
125,1958-12-02,4.403349829047199
126,1958-12-27,38.68713316644744
127,1959-01-02,25.25949571804261
128,1959-01-22,21.86311818025488
129,1959-02-17,150.55805625633238
130,1959-03-18,17.364299075145397
131,1959-07-20,38.294268610742485
132,1959-09-19,33.059642380205
133,1959-10-16,31.80271946709582
134,1959-11-10,83.17468052711158
135,1959-11-12,24.426342494515865
136,1959-11-13,317.8453332714456
137,1959-12-01,27.605536916479036
138,1960-01-05,24.383782774163848
139,1960-01-21,31.513383688069055
140,1960-02-17,28.035072919647245
141,1960-10-21,4.475893327964564
142,1960-11-01,37.14188810647929
143,1960-11-22,21.873658309492974
144,1961-01-14,21.87345363899467
145,1961-02-18,41.38727424460501
146,1961-04-01,4.293789693278554
147,1961-07-25,26.43117660267694
148,1961-10-06,31.336755255903995
149,1961-11-09,7.0984525025598995
150,1961-11-16,19.807306978378115
151,1961-11-17,35.50926933314932
152,1962-01-01,4.255843598961056
153,1962-03-11,25.114603135633196
154,1962-07-10,27.6876865813359
155,1962-11-16,19.743248517950796
156,1963-01-03,19.80687307941531
157,1963-03-16,24.998311371754035
158,1963-03-27,100.37311569547771
159,1963-05-07,34.67288392280436
160,1963-05-19,21.848104553787962
161,1963-08-28,22.498524953621242
162,1963-11-15,7.0784788024904906
163,1963-12-09,27.830361509470166
